country,cases,updated_date,hist_had,code,population,cases_per_million
United States,7509,2022-08-05,Has not,USA,331893745,22.62
Spain,4942,2022-08-05,Has not,ESP,47326687,104.42
Germany,2887,2022-08-05,Has not,DEU,83129285,34.73
United Kingdom,2859,2022-08-05,Has not,GBR,67326569,42.46
France,2423,2022-08-05,Has not,FRA,67499343,35.9
Brazil,1474,2022-08-05,Has not,BRA,213993441,6.89
Netherlands,959,2022-08-05,Has not,NLD,17533405,54.7
Canada,957,2022-08-05,Has not,CAN,38246108,25.02
Portugal,710,2022-08-05,Has not,PRT,10299423,68.94
Italy,545,2022-08-05,Has not,ITA,59066225,9.23
Belgium,482,2022-08-05,Has not,BEL,11587882,41.6
Peru,340,2022-08-05,Has not,PER,33359416,10.19
Switzerland,316,2022-08-05,Has not,CHE,8697723,36.33
Democratic Republic of the Congo,163,2022-08-05,Has,COD,92377986,1.76
Austria,160,2022-08-05,Has not,AUT,8956279,17.86
Israel,160,2022-08-05,Has not,ISR,9364000,17.09
Nigeria,133,2022-08-05,Has,NGA,211400704,0.63
Denmark,114,2022-08-05,Has not,DNK,5856733,19.46
Sweden,111,2022-08-05,Has not,SWE,10415811,10.66
Ireland,97,2022-08-05,Has not,IRL,5028230,19.29
Mexico,91,2022-08-05,Has not,MEX,130262220,0.7
Poland,76,2022-08-05,Has not,POL,37781024,2.01
Chile,69,2022-08-05,Has not,CHL,19212362,3.59
Norway,64,2022-08-05,Has not,NOR,5408320,11.83
Australia,58,2022-08-05,Has not,AUS,25739256,2.25
Hungary,48,2022-08-05,Has not,HUN,9709886,4.94
Greece,39,2022-08-05,Has not,GRC,10664568,3.66
Slovenia,37,2022-08-05,Has not,SVN,2107007,17.56
Luxembourg,32,2022-08-05,Has not,LUX,639070,50.07
Argentina,31,2022-08-05,Has not,ARG,45808747,0.68
Ghana,30,2022-08-05,Has,GHA,31732128,0.95
Czechia,28,2022-08-05,Has not,CZE,10703446,2.62
Finland,22,2022-08-05,Has not,FIN,5541696,3.97
Romania,22,2022-08-05,Has not,ROU,19115146,1.15
Colombia,20,2022-08-05,Has not,COL,51265841,0.39
Malta,17,2022-08-05,Has not,MLT,516869,32.89
United Arab Emirates,16,2022-08-05,Has not,ARE,9991083,1.6
Singapore,15,2022-08-05,Has not,SGP,5453566,2.75
Croatia,12,2022-08-05,Has not,HRV,3899000,3.08
Iceland,11,2022-08-05,Has not,ISL,372295,29.55
Serbia,10,2022-08-05,Has not,SRB,6844078,1.46
Estonia,9,2022-08-05,Has not,EST,1329254,6.77
Central African Republic,8,2022-08-05,Has,CAF,4919987,1.63
Slovakia,8,2022-08-05,Has not,SVK,5447247,1.47
Cameroon,7,2022-08-05,Has,CMR,27224262,0.26
Ecuador,6,2022-08-05,Has not,ECU,17888474,0.34
Lebanon,6,2022-08-05,Has not,LBN,6769151,0.89
India,6,2022-08-05,Has not,IND,1393409033,0.0
Saudi Arabia,5,2022-08-05,Has not,SAU,35340680,0.14
Gibraltar,5,2022-08-05,Has not,GIB,33691,148.41
Thailand,4,2022-08-05,Has not,THA,69950844,0.06
Dominican Republic,4,2022-08-05,Has not,DOM,10953714,0.37
Bulgaria,4,2022-08-05,Has not,BGR,6899125,0.58
Andorra,4,2022-08-05,Has not,AND,77354,51.71
New Zealand,3,2022-08-05,Has not,NZL,5122600,0.59
South Africa,3,2022-08-05,Has not,ZAF,60041996,0.05
Latvia,3,2022-08-05,Has not,LVA,1883162,1.59
Bolivia,3,2022-08-05,Has not,BOL,11832936,0.25
Benin,3,2022-08-05,Has not,BEN,12451031,0.24
Lithuania,3,2022-08-05,Has not,LTU,2795321,1.07
Costa Rica,3,2022-08-05,Has not,CRI,5139053,0.58
Liberia,2,2022-08-05,Has,LBR,5180208,0.39
Japan,2,2022-08-05,Has not,JPN,125681593,0.02
Uruguay,2,2022-08-05,Has not,URY,3485152,0.57
Qatar,2,2022-08-05,Has not,QAT,2930524,0.68
Republic of the Congo,2,2022-08-05,Has,COG,5657017,0.35
Jamaica,2,2022-08-05,Has not,JAM,2973462,0.67
Bosnia and Herzegovina,1,2022-08-05,Has not,BIH,3263459,0.31
New Caledonia,1,2022-08-05,Has not,NCL,272620,3.67
Bermuda,1,2022-08-05,Has not,BMU,63867,15.66
Turkey,1,2022-08-05,Has not,TUR,85042736,0.01
Barbados,1,2022-08-05,Has not,BRB,287708,3.48
Bahamas,1,2022-08-05,Has not,BHS,396914,2.52
Sudan,1,2022-08-05,Has not,SDN,44909351,0.02
South Korea,1,2022-08-05,Has not,KOR,51744876,0.02
Cyprus,1,2022-08-05,Has not,CYP,1215588,0.82
Georgia,1,2022-08-05,Has not,GEO,3708610,0.27
Morocco,1,2022-08-05,Has not,MAR,37344787,0.03
Guatemala,1,2022-08-05,Has not,GTM,17109746,0.06
Saint Martin,1,2022-08-05,Has not,MAF,39239,25.48
Russia,1,2022-08-05,Has not,RUS,143446060,0.01
Philippines,1,2022-08-05,Has not,PHL,111046910,0.01
Montenegro,1,2022-08-05,Has not,MNE,620173,1.61
Panama,1,2022-08-05,Has not,PAN,4381583,0.23
Venezuela,1,2022-08-05,Has not,VEN,28704947,0.03
